login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
Btibert3,Btibert3/BA882-Fall24-InClass-Project,2024-09-15T16:56:24Z,0,0,Python,TRUE,TRUE,N/A
klaviyo,klaviyo/buildkite-agent-metrics,2024-09-15T13:42:28Z,0,0,,TRUE,FALSE,MIT License
nixpulvis,nixpulvis/bevy_sqlx,2024-09-15T07:58:22Z,7,7,Rust,TRUE,TRUE,N/A
philzook58,philzook58/copyboot,2024-09-14T23:11:51Z,0,0,C,TRUE,TRUE,N/A
wwylele,wwylele/biased-bisect-manim,2024-09-14T18:33:45Z,0,0,Python,TRUE,TRUE,N/A
fangq,fangq/cedalion,2024-09-14T09:57:30Z,0,0,,TRUE,FALSE,MIT License
Krastanov,Krastanov/Graphs.jl,2024-09-14T03:12:04Z,0,0,,TRUE,FALSE,Other
Krastanov,Krastanov/GraphsMatching.jl,2024-09-13T17:29:08Z,0,0,,TRUE,TRUE,Other
KeithGalli,KeithGalli/forked-report-design-test,2024-09-13T15:19:15Z,0,0,,TRUE,FALSE,MIT License
mautic,mautic/marketplace-frontend,2024-09-13T12:51:10Z,1,1,JavaScript,TRUE,TRUE,N/A
jwalsh,jwalsh/Based-on-the-project-summary-provided-here-is-a-suggested-GitHub-repository-name-codenexus-Ratio,2024-09-13T12:46:31Z,0,0,,TRUE,TRUE,N/A
djcas9,djcas9/automerge,2024-09-12T16:41:53Z,0,0,,TRUE,TRUE,MIT License
jwalsh,jwalsh/amazon-bedrock-prompt-evaluation,2024-09-12T15:09:21Z,0,0,Python,TRUE,TRUE,Apache License 2.0
cameronraysmith,cameronraysmith/aiken,2024-09-12T04:00:41Z,0,0,,TRUE,FALSE,Apache License 2.0
freddiev4,freddiev4/ragas,2024-09-11T19:51:58Z,0,0,,TRUE,FALSE,Apache License 2.0
Foundation-Devices,Foundation-Devices/bsdiff-rs,2024-09-11T13:47:29Z,0,0,,TRUE,TRUE,Other
makslevental,makslevental/julia-standalone-mlir-c-api,2024-09-10T12:29:17Z,0,0,C++,TRUE,TRUE,Apache License 2.0
lh3,lh3/bre,2024-09-10T00:54:53Z,5,5,C,FALSE,FALSE,N/A
DockYard,DockYard/alpha,2024-09-10T00:16:30Z,0,0,Elixir,TRUE,TRUE,N/A
bcardarella,bcardarella/Swift-SemVer,2024-09-09T22:15:57Z,0,0,,TRUE,TRUE,Other
odewahn,odewahn/ai-bcc-samples,2024-09-09T14:17:43Z,0,0,,TRUE,TRUE,N/A
alamb,alamb/datafusion-dft,2024-09-08T17:07:01Z,1,1,,TRUE,TRUE,Apache License 2.0
nixpulvis,nixpulvis/bevy,2024-09-07T20:18:21Z,0,0,,TRUE,FALSE,Apache License 2.0
arjunguha,arjunguha/charlie-the-coding-cow-classroom,2024-09-07T13:35:36Z,0,0,Python,FALSE,FALSE,"BSD 3-Clause ""New"" or ""Revised"" License"
pentium3,pentium3/CAPSys,2024-09-06T21:52:44Z,0,0,Java,TRUE,TRUE,Apache License 2.0
maddymontaquila,maddymontaquila/funcolors,2024-09-06T04:58:36Z,16,16,C#,TRUE,TRUE,N/A
wengong-jin,wengong-jin/wengong-jin.github.io,2024-09-05T21:38:09Z,0,0,HTML,TRUE,TRUE,MIT License
johnny-rice,johnny-rice/abctl,2024-09-05T19:20:50Z,0,0,Go,TRUE,FALSE,MIT License
djcas9,djcas9/cal.com,2024-09-05T12:22:40Z,0,0,,TRUE,FALSE,Other
vEnhance,vEnhance/1802,2024-09-05T11:25:03Z,0,0,Typst,TRUE,TRUE,MIT License
dylanebert,dylanebert/InstantMesh,2024-09-04T18:02:56Z,1,1,Jupyter Notebook,TRUE,TRUE,Apache License 2.0
seflless,seflless/build-your-own-x,2024-09-04T16:49:51Z,0,0,,TRUE,FALSE,N/A
jeffwhelpley,jeffwhelpley/offlineai,2024-09-03T22:08:46Z,0,0,HTML,TRUE,TRUE,N/A
jwalsh,jwalsh/aif-c01,2024-09-03T21:40:19Z,5,5,Python,TRUE,TRUE,MIT License
DockYard,DockYard/Elixir-app,2024-09-03T19:12:06Z,1,1,,TRUE,TRUE,N/A
eyurtsev,eyurtsev/migrate-pydantic,2024-09-03T15:44:00Z,2,2,,TRUE,TRUE,N/A
makslevental,makslevental/iree-amd-aie,2024-09-03T13:28:38Z,0,0,MLIR,TRUE,TRUE,Apache License 2.0
Foundation-Devices,Foundation-Devices/guix-foundation,2024-09-03T09:36:58Z,1,1,Scheme,TRUE,TRUE,N/A
KeithGalli,KeithGalli/country-analytics,2024-09-02T18:06:56Z,5,5,HTML,TRUE,TRUE,MIT License
nirvdrum,nirvdrum/bootstrap-rubygem,2024-09-02T03:55:14Z,1,1,,TRUE,TRUE,MIT License
makslevental,makslevental/iree-standalone,2024-09-01T04:22:59Z,2,2,C,TRUE,TRUE,Apache License 2.0
berquist,berquist/.github,2024-08-31T20:08:53Z,0,0,,TRUE,TRUE,GNU General Public License v3.0
dsandler,dsandler/kickstart.nvim,2024-08-31T17:26:11Z,0,0,,TRUE,TRUE,MIT License
anandijain,anandijain/app-registration-nonsense,2024-08-31T01:19:44Z,0,0,,TRUE,TRUE,N/A
